Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
AL139099.4,7.34E-01,8.96E-01,-1.04E+00
PARD6A,9.66E-01,9.90E-01,-1.04E+00
FRMD8,6.86E-01,8.71E-01,-1.04E+00
UTP23,6.44E-01,8.44E-01,-1.04E+00
AGA,6.35E-01,8.39E-01,-1.04E+00
DUTP5,8.52E-01,9.50E-01,-1.04E+00
RAB40B,8.92E-01,9.64E-01,-1.04E+00
EAF1,8.15E-01,9.35E-01,-1.04E+00
ARHGAP18,7.55E-01,9.07E-01,-1.04E+00
FAM215B,8.54E-01,9.51E-01,-1.04E+00
MIER2,9.18E-01,9.71E-01,-1.04E+00
SPTLC1,7.67E-01,9.14E-01,-1.04E+00
RPS6KB1,5.48E-01,7.83E-01,-1.04E+00
DIS3L2,8.40E-01,9.45E-01,-1.04E+00
INO80,7.95E-01,9.26E-01,-1.04E+00
HECTD1,4.29E-01,6.94E-01,-1.04E+00
RECK,8.70E-01,9.55E-01,-1.04E+00
ORC3,7.61E-01,9.10E-01,-1.04E+00
ZMYM5,8.46E-01,9.48E-01,-1.04E+00
MT-ND6,6.82E-01,8.68E-01,-1.04E+00
RALGAPB,7.40E-01,8.99E-01,-1.04E+00
RPL21,7.30E-01,8.95E-01,-1.04E+00
ATP5PD,7.06E-01,8.82E-01,-1.04E+00
ATXN2,5.88E-01,8.11E-01,-1.04E+00
MON2,8.19E-01,9.36E-01,-1.04E+00
TBC1D10B,6.54E-01,8.51E-01,-1.04E+00
SINHCAF,6.84E-01,8.70E-01,-1.04E+00
LUC7L3,3.72E-01,6.43E-01,-1.04E+00
MFF,7.16E-01,8.87E-01,-1.04E+00
HILPDA,7.20E-01,8.89E-01,-1.04E+00
SMPD1,8.32E-01,9.42E-01,-1.04E+00
ASNS,5.86E-01,8.10E-01,-1.04E+00
STK16,7.98E-01,9.28E-01,-1.04E+00
SDF4,5.60E-01,7.93E-01,-1.04E+00
ZDHHC7,8.81E-01,9.59E-01,-1.04E+00
KIF27,7.16E-01,8.87E-01,-1.04E+00
FAM208A,7.24E-01,8.92E-01,-1.04E+00
PKN2,5.83E-01,8.08E-01,-1.04E+00
NOTCH2,7.89E-01,9.24E-01,-1.04E+00
RBMS2,6.97E-01,8.77E-01,-1.04E+00
CDS2,8.90E-01,9.63E-01,-1.04E+00
PKP3,8.07E-01,9.31E-01,-1.04E+00
KIAA1958,8.12E-01,9.33E-01,-1.04E+00
TNFRSF10B,8.66E-01,9.54E-01,-1.04E+00
FIGNL1,7.67E-01,9.14E-01,-1.04E+00
DCTN5,6.20E-01,8.30E-01,-1.04E+00
APTX,6.16E-01,8.29E-01,-1.04E+00
ELOA,7.21E-01,8.89E-01,-1.04E+00
SH3GLB2,7.85E-01,9.22E-01,-1.04E+00
AC006504.5,9.70E-01,9.91E-01,-1.04E+00
NTAN1,6.30E-01,8.36E-01,-1.04E+00
CNIH1,8.01E-01,9.29E-01,-1.04E+00
LINC01278,8.96E-01,9.65E-01,-1.04E+00
CLCN7,9.60E-01,9.88E-01,-1.04E+00
AC009118.2,9.98E-01,1.00E+00,-1.04E+00
TEX30,9.60E-01,9.89E-01,-1.04E+00
WNK1,4.60E-01,7.20E-01,-1.04E+00
INTS6,7.40E-01,9.00E-01,-1.04E+00
ADM,5.84E-01,8.08E-01,-1.04E+00
ACAP2,7.84E-01,9.22E-01,-1.04E+00
DHRS4,7.95E-01,9.27E-01,-1.04E+00
LIMS1,5.54E-01,7.89E-01,-1.04E+00
SLC47A1,8.98E-02,2.86E-01,-1.04E+00
ZNF607,9.49E-01,9.84E-01,-1.04E+00
N4BP2L2,6.24E-01,8.33E-01,-1.04E+00
ST13P6,7.94E-01,9.26E-01,-1.04E+00
TBC1D22A,7.64E-01,9.12E-01,-1.04E+00
CEP72,9.76E-01,9.92E-01,-1.04E+00
TBC1D24,8.58E-01,9.51E-01,-1.04E+00
ZNF593,7.54E-01,9.07E-01,-1.04E+00
RNF114,7.70E-01,9.16E-01,-1.04E+00
NSMCE2,6.49E-01,8.47E-01,-1.04E+00
TUBE1,7.56E-01,9.08E-01,-1.04E+00
ASH1L-AS1,8.76E-01,9.57E-01,-1.04E+00
NLK,6.98E-01,8.77E-01,-1.04E+00
HMGXB3,8.18E-01,9.36E-01,-1.04E+00
CABLES1,7.54E-01,9.07E-01,-1.04E+00
EXOSC7,7.39E-01,8.99E-01,-1.04E+00
AC138969.1,8.59E-01,9.52E-01,-1.04E+00
SYNPO,6.72E-01,8.63E-01,-1.04E+00
PHB2,6.18E-01,8.30E-01,-1.04E+00
RPS11,7.70E-01,9.16E-01,-1.04E+00
ZNF638,6.11E-01,8.26E-01,-1.04E+00
CD27-AS1,8.83E-01,9.60E-01,-1.04E+00
ZNF335,8.08E-01,9.32E-01,-1.04E+00
RNF8,5.07E-01,7.57E-01,-1.04E+00
GOLGA5,6.77E-01,8.65E-01,-1.04E+00
GRB2,5.90E-01,8.12E-01,-1.04E+00
BCAR3,9.24E-01,9.74E-01,-1.04E+00
CDCA3,6.89E-01,8.73E-01,-1.04E+00
ERCC1,6.13E-01,8.26E-01,-1.04E+00
RGL2,8.32E-01,9.42E-01,-1.04E+00
NDUFAF3,5.79E-01,8.05E-01,-1.04E+00
BMS1,6.03E-01,8.21E-01,-1.04E+00
NGDN,8.38E-01,9.44E-01,-1.04E+00
SAR1B,6.15E-01,8.28E-01,-1.04E+00
RTL8A,7.18E-01,8.88E-01,-1.04E+00
FANCD2,5.58E-01,7.92E-01,-1.04E+00
CUTA,5.67E-01,7.98E-01,-1.04E+00
GSTO1,5.04E-01,7.55E-01,-1.04E+00
IWS1,5.52E-01,7.88E-01,-1.05E+00
NOTCH3,9.65E-01,9.90E-01,-1.05E+00
ZNF761,8.49E-01,9.49E-01,-1.05E+00
HIST1H2AG,8.41E-01,9.45E-01,-1.05E+00
KIF1C,6.62E-01,8.57E-01,-1.05E+00
CD164,8.48E-01,9.48E-01,-1.05E+00
BRD1,7.82E-01,9.20E-01,-1.05E+00
UBR5,5.37E-01,7.76E-01,-1.05E+00
SH3YL1,8.34E-01,9.42E-01,-1.05E+00
SNX4,6.75E-01,8.65E-01,-1.05E+00
SMIM10L1,5.62E-01,7.95E-01,-1.05E+00
KCTD12,8.51E-01,9.50E-01,-1.05E+00
NDUFS2,6.38E-01,8.41E-01,-1.05E+00
LINC00707,9.08E-01,9.67E-01,-1.05E+00
UTP18,5.74E-01,8.03E-01,-1.05E+00
SNRPGP10,9.50E-01,9.84E-01,-1.05E+00
EIF4E,5.54E-01,7.89E-01,-1.05E+00
ATR,6.08E-01,8.24E-01,-1.05E+00
NRBF2,6.80E-01,8.67E-01,-1.05E+00
EXOC2,7.30E-01,8.95E-01,-1.05E+00
TDRD3,7.34E-01,8.96E-01,-1.05E+00
MLLT6,5.85E-01,8.09E-01,-1.05E+00
MTMR12,8.28E-01,9.40E-01,-1.05E+00
PGM2,8.64E-01,9.53E-01,-1.05E+00
LEPROTL1,7.18E-01,8.88E-01,-1.05E+00
GTF3C3,6.07E-01,8.23E-01,-1.05E+00
TUBGCP3,8.79E-01,9.58E-01,-1.05E+00
TIGD6,9.46E-01,9.83E-01,-1.05E+00
CCNL2,4.57E-01,7.18E-01,-1.05E+00
PA2G4P6,8.05E-01,9.31E-01,-1.05E+00
FASN,4.97E-01,7.51E-01,-1.05E+00
HTR7P1,9.88E-01,9.96E-01,-1.05E+00
GAN,8.27E-01,9.39E-01,-1.05E+00
ZNF263,7.43E-01,9.01E-01,-1.05E+00
MCEE,7.78E-01,9.19E-01,-1.05E+00
NUBP2,5.87E-01,8.11E-01,-1.05E+00
AC012306.2,7.75E-01,9.18E-01,-1.05E+00
UFC1,4.55E-01,7.17E-01,-1.05E+00
MRRF,6.15E-01,8.28E-01,-1.05E+00
BRD3,4.12E-01,6.79E-01,-1.05E+00
PLCXD1,9.59E-01,9.88E-01,-1.05E+00
SEC63,4.77E-01,7.33E-01,-1.05E+00
ZNF324,9.69E-01,9.91E-01,-1.05E+00
IGF2BP2,6.40E-01,8.42E-01,-1.05E+00
PRR11,5.93E-01,8.14E-01,-1.05E+00
UBN2,7.11E-01,8.84E-01,-1.05E+00
GLRX3,7.20E-01,8.89E-01,-1.05E+00
SAMHD1,6.29E-01,8.36E-01,-1.05E+00
SLC16A1,3.89E-01,6.59E-01,-1.05E+00
LMBR1,7.41E-01,9.00E-01,-1.05E+00
MOB1A,7.33E-01,8.96E-01,-1.05E+00
AGL,7.94E-01,9.26E-01,-1.05E+00
TIMM17B,7.73E-01,9.17E-01,-1.05E+00
MSI2,7.27E-01,8.93E-01,-1.05E+00
NLRC5,8.42E-01,9.46E-01,-1.05E+00
PLEKHA2,7.13E-01,8.85E-01,-1.05E+00
TTC31,8.36E-01,9.43E-01,-1.05E+00
DOCK5,4.85E-01,7.40E-01,-1.05E+00
ACP6,7.62E-01,9.11E-01,-1.05E+00
KDELC2,7.10E-01,8.84E-01,-1.05E+00
YTHDF3,6.72E-01,8.63E-01,-1.05E+00
B3GALT6,6.19E-01,8.30E-01,-1.05E+00
HLCS,6.91E-01,8.74E-01,-1.05E+00
CBX3,4.28E-01,6.93E-01,-1.05E+00
ALDH18A1,8.82E-01,9.60E-01,-1.05E+00
C1orf216,7.35E-01,8.96E-01,-1.05E+00
ZMAT3,7.21E-01,8.89E-01,-1.05E+00
PGP,7.18E-01,8.88E-01,-1.05E+00
LRFN4,7.87E-01,9.23E-01,-1.05E+00
COA4,6.92E-01,8.74E-01,-1.05E+00
FAM207A,7.43E-01,9.01E-01,-1.05E+00
RNF126,8.40E-01,9.45E-01,-1.05E+00
STAG1,6.99E-01,8.77E-01,-1.05E+00
BAD,6.94E-01,8.75E-01,-1.05E+00
NORAD,7.60E-01,9.10E-01,-1.05E+00
ZNF285,9.42E-01,9.81E-01,-1.05E+00
SS18L2,7.96E-01,9.27E-01,-1.05E+00
SLC39A1,5.06E-01,7.57E-01,-1.05E+00
RRP9,7.41E-01,9.00E-01,-1.05E+00
AC012640.2,1.00E+00,1.00E+00,-1.05E+00
TAP2,8.97E-01,9.65E-01,-1.05E+00
NDUFB1,8.35E-01,9.43E-01,-1.05E+00
TUBGCP6,8.96E-01,9.65E-01,-1.05E+00
SPAG16,7.25E-01,8.93E-01,-1.05E+00
DUSP3,5.84E-01,8.08E-01,-1.05E+00
RLF,6.22E-01,8.32E-01,-1.05E+00
NUCKS1P1,8.54E-01,9.50E-01,-1.05E+00
NEMP2,7.03E-01,8.80E-01,-1.05E+00
OSBPL7,8.57E-01,9.51E-01,-1.05E+00
GSK3A,7.03E-01,8.80E-01,-1.05E+00
ZFYVE21,9.01E-01,9.66E-01,-1.05E+00
SFMBT1,6.80E-01,8.67E-01,-1.05E+00
POLR3E,6.92E-01,8.74E-01,-1.05E+00
ZNF814,9.69E-01,9.91E-01,-1.05E+00
TMEM116,8.90E-01,9.63E-01,-1.05E+00
AC131206.1,8.33E-01,9.42E-01,-1.05E+00
LRRC47,6.70E-01,8.62E-01,-1.05E+00
SESN2,7.17E-01,8.87E-01,-1.05E+00
NUFIP2,6.72E-01,8.62E-01,-1.05E+00
RHNO1,5.37E-01,7.76E-01,-1.05E+00
KLHL29,9.08E-01,9.67E-01,-1.05E+00
GEN1,6.82E-01,8.68E-01,-1.05E+00
ZNF512,6.08E-01,8.24E-01,-1.05E+00
PSMD9,7.48E-01,9.04E-01,-1.05E+00
CLSTN1,5.79E-01,8.06E-01,-1.05E+00
TUFM,5.52E-01,7.87E-01,-1.05E+00
ANXA7,8.46E-01,9.48E-01,-1.05E+00
YARS,4.83E-01,7.38E-01,-1.05E+00
CRELD1,7.83E-01,9.22E-01,-1.05E+00
TMEM9B,6.60E-01,8.56E-01,-1.05E+00
ZNF473,8.27E-01,9.39E-01,-1.05E+00
KPNA6,3.72E-01,6.43E-01,-1.05E+00
CD109,5.92E-01,8.13E-01,-1.05E+00
PHLDA2,5.23E-01,7.67E-01,-1.05E+00
TWISTNB,6.31E-01,8.36E-01,-1.05E+00
RAB4A,6.79E-01,8.67E-01,-1.05E+00
MEAF6,6.04E-01,8.21E-01,-1.05E+00
TTYH3,7.77E-01,9.19E-01,-1.05E+00
PKN1,8.31E-01,9.41E-01,-1.05E+00
MIR4458HG,9.35E-01,9.78E-01,-1.05E+00
RSBN1L,5.62E-01,7.95E-01,-1.05E+00
SRD5A1,6.78E-01,8.66E-01,-1.05E+00
ERI1,7.52E-01,9.06E-01,-1.05E+00
FAM168B,7.38E-01,8.98E-01,-1.05E+00
RBBP6,4.57E-01,7.18E-01,-1.05E+00
AKAP1,6.66E-01,8.59E-01,-1.05E+00
ARPC1A,8.49E-01,9.49E-01,-1.05E+00
VPS25,4.83E-01,7.39E-01,-1.05E+00
AC242426.3,8.11E-01,9.33E-01,-1.05E+00
WRNIP1,7.93E-01,9.25E-01,-1.05E+00
NCOA6,5.88E-01,8.11E-01,-1.05E+00
ARHGEF39,6.05E-01,8.22E-01,-1.05E+00
SH3BP2,8.65E-01,9.54E-01,-1.05E+00
USP20,9.61E-01,9.89E-01,-1.05E+00
NAXE,5.64E-01,7.96E-01,-1.05E+00
CTBP1-DT,8.72E-01,9.56E-01,-1.05E+00
SAFB,6.86E-01,8.71E-01,-1.05E+00
MRPL15,4.90E-01,7.45E-01,-1.05E+00
TAF1C,8.46E-01,9.48E-01,-1.05E+00
AREL1,6.03E-01,8.21E-01,-1.05E+00
MTMR9,6.14E-01,8.27E-01,-1.05E+00
IDH3B,5.83E-01,8.08E-01,-1.05E+00
NCAPH,6.62E-01,8.57E-01,-1.05E+00
NADSYN1,6.02E-01,8.21E-01,-1.05E+00
FAM228B,9.64E-01,9.89E-01,-1.05E+00
WDR44,7.08E-01,8.83E-01,-1.05E+00
DLGAP1-AS1,7.32E-01,8.96E-01,-1.05E+00
SUSD1,8.59E-01,9.52E-01,-1.05E+00
NRBP2,9.92E-01,9.98E-01,-1.05E+00
RNF145,6.03E-01,8.21E-01,-1.05E+00
IFI6,7.21E-01,8.89E-01,-1.05E+00
AL365217.1,8.60E-01,9.52E-01,-1.05E+00
TRAPPC9,7.56E-01,9.08E-01,-1.05E+00
TNFRSF21,6.31E-01,8.36E-01,-1.05E+00
FUT11,6.25E-01,8.33E-01,-1.05E+00
RPL37AP8,9.24E-01,9.74E-01,-1.05E+00
ASH1L,3.40E-01,6.14E-01,-1.05E+00
SYMPK,6.75E-01,8.65E-01,-1.05E+00
FAM122B,4.04E-01,6.72E-01,-1.05E+00
SAMM50,6.21E-01,8.31E-01,-1.05E+00
ECD,7.92E-01,9.25E-01,-1.05E+00
RAD54L2,6.62E-01,8.57E-01,-1.05E+00
MOSMO,7.59E-01,9.10E-01,-1.05E+00
APRT,6.40E-01,8.42E-01,-1.05E+00
TRA2A,5.85E-01,8.09E-01,-1.05E+00
ERCC6L2,5.30E-01,7.71E-01,-1.05E+00
STAT3,5.82E-01,8.08E-01,-1.05E+00
TRIM39,7.79E-01,9.19E-01,-1.05E+00
TMEM184C,7.02E-01,8.80E-01,-1.05E+00
AP5Z1,6.89E-01,8.73E-01,-1.05E+00
AC009094.1,6.90E-01,8.73E-01,-1.05E+00
HEATR3,6.91E-01,8.74E-01,-1.05E+00
CCDC189,7.06E-01,8.82E-01,-1.05E+00
SOGA1,6.14E-01,8.28E-01,-1.05E+00
SLC25A37,4.71E-01,7.29E-01,-1.05E+00
RPIA,7.56E-01,9.08E-01,-1.05E+00
PLOD3,5.67E-01,7.98E-01,-1.05E+00
TMEM8A,8.18E-01,9.36E-01,-1.05E+00
SNORA12,7.74E-01,9.18E-01,-1.05E+00
C7orf50,6.36E-01,8.39E-01,-1.05E+00
ASAH1,5.42E-01,7.79E-01,-1.05E+00
TMEM187,6.23E-01,8.33E-01,-1.05E+00
LENG8,7.35E-01,8.96E-01,-1.05E+00
ZNF532,5.76E-01,8.04E-01,-1.05E+00
PURA,5.08E-01,7.58E-01,-1.05E+00
MYL6,3.04E-01,5.79E-01,-1.05E+00
ZNF446,8.45E-01,9.48E-01,-1.05E+00
TRIM23,9.09E-01,9.68E-01,-1.06E+00
BRCC3,5.25E-01,7.68E-01,-1.06E+00
FAM126A,5.76E-01,8.04E-01,-1.06E+00
MTOR,6.98E-01,8.77E-01,-1.06E+00
AGK,6.93E-01,8.75E-01,-1.06E+00
ALG3,4.63E-01,7.22E-01,-1.06E+00
UBR3,7.36E-01,8.97E-01,-1.06E+00
ATP5MG,6.86E-01,8.72E-01,-1.06E+00
LINC01504,9.91E-01,9.98E-01,-1.06E+00
SYNJ2BP-COX16,8.19E-01,9.36E-01,-1.06E+00
MOB4,7.38E-01,8.98E-01,-1.06E+00
SNX6,4.27E-01,6.92E-01,-1.06E+00
SOS2,7.45E-01,9.02E-01,-1.06E+00
NFYC,7.09E-01,8.83E-01,-1.06E+00
NBPF14,7.13E-01,8.85E-01,-1.06E+00
MKS1,7.48E-01,9.04E-01,-1.06E+00
AL138752.1,6.24E-01,8.33E-01,-1.06E+00
SH3GLB1,6.29E-01,8.36E-01,-1.06E+00
CAPN2,5.75E-01,8.03E-01,-1.06E+00
NUP188,6.12E-01,8.26E-01,-1.06E+00
FAM96AP2,8.83E-01,9.60E-01,-1.06E+00
ELMOD3,7.87E-01,9.23E-01,-1.06E+00
RNF115,4.21E-01,6.86E-01,-1.06E+00
AC016747.1,5.54E-01,7.89E-01,-1.06E+00
CXCL1,6.63E-01,8.57E-01,-1.06E+00
SF3B3,5.77E-01,8.04E-01,-1.06E+00
ABCB8,8.93E-01,9.64E-01,-1.06E+00
SPCS2,5.16E-01,7.63E-01,-1.06E+00
KIAA0930,3.70E-01,6.42E-01,-1.06E+00
ARID3A,9.53E-01,9.86E-01,-1.06E+00
RNF135,6.51E-01,8.49E-01,-1.06E+00
XYLT2,5.96E-01,8.16E-01,-1.06E+00
SAR1A,4.25E-01,6.90E-01,-1.06E+00
VPS37D,8.03E-01,9.30E-01,-1.06E+00
FAAP20,6.76E-01,8.65E-01,-1.06E+00
RNF41,5.38E-01,7.77E-01,-1.06E+00
GIGYF2,3.22E-01,5.96E-01,-1.06E+00
PTGES2,7.59E-01,9.10E-01,-1.06E+00
ZNF217,4.41E-01,7.05E-01,-1.06E+00
MT-TM,7.13E-01,8.85E-01,-1.06E+00
RP9P,8.78E-01,9.58E-01,-1.06E+00
MAPK3,6.81E-01,8.68E-01,-1.06E+00
TNIP2,6.35E-01,8.39E-01,-1.06E+00
FKBPL,9.36E-01,9.78E-01,-1.06E+00
SRSF6,2.59E-01,5.28E-01,-1.06E+00
TMEM214,6.08E-01,8.24E-01,-1.06E+00
GNA12,7.35E-01,8.96E-01,-1.06E+00
IFRD2,4.71E-01,7.28E-01,-1.06E+00
PHF3,3.72E-01,6.43E-01,-1.06E+00
SRP68,5.06E-01,7.57E-01,-1.06E+00
WIPF2,5.27E-01,7.69E-01,-1.06E+00
ALDH9A1,5.32E-01,7.72E-01,-1.06E+00
SYNRG,4.89E-01,7.45E-01,-1.06E+00
VPS45,7.97E-01,9.28E-01,-1.06E+00
CBX8,9.10E-01,9.68E-01,-1.06E+00
AC093014.1,8.93E-01,9.64E-01,-1.06E+00
NAPB,7.42E-01,9.00E-01,-1.06E+00
PRPF3,5.07E-01,7.57E-01,-1.06E+00
ZNF276,7.38E-01,8.98E-01,-1.06E+00
RBM15B,5.11E-01,7.60E-01,-1.06E+00
HGS,5.41E-01,7.78E-01,-1.06E+00
ZNF550,8.38E-01,9.44E-01,-1.06E+00
TRIM62,9.73E-01,9.92E-01,-1.06E+00
CDKAL1,7.56E-01,9.08E-01,-1.06E+00
TXNRD3,7.96E-01,9.27E-01,-1.06E+00
PTPDC1,8.18E-01,9.36E-01,-1.06E+00
MRPS12,5.01E-01,7.54E-01,-1.06E+00
MAP3K1,6.29E-01,8.36E-01,-1.06E+00
VBP1,6.85E-01,8.71E-01,-1.06E+00
RBM18,6.44E-01,8.44E-01,-1.06E+00
MAP7,9.42E-01,9.81E-01,-1.06E+00
CLCN3,4.98E-01,7.52E-01,-1.06E+00
MPHOSPH10,6.07E-01,8.23E-01,-1.06E+00
MIA2,5.79E-01,8.05E-01,-1.06E+00
RBM23,5.03E-01,7.55E-01,-1.06E+00
ANKRD27,8.01E-01,9.29E-01,-1.06E+00
ERGIC1,5.37E-01,7.76E-01,-1.06E+00
CLDN12,7.68E-01,9.15E-01,-1.06E+00
SESN1,7.58E-01,9.10E-01,-1.06E+00
FAM133DP,6.31E-01,8.37E-01,-1.06E+00
UMPS,4.30E-01,6.95E-01,-1.06E+00
RANBP6,5.13E-01,7.60E-01,-1.06E+00
SELENOK,5.20E-01,7.66E-01,-1.06E+00
NDUFB4P12,9.32E-01,9.78E-01,-1.06E+00
OGFR,6.40E-01,8.42E-01,-1.06E+00
ZNF124,6.01E-01,8.20E-01,-1.06E+00
GLT8D1,7.29E-01,8.95E-01,-1.06E+00
HMG20A,8.57E-01,9.51E-01,-1.06E+00
ACADM,4.58E-01,7.18E-01,-1.06E+00
SLC39A14,8.22E-01,9.37E-01,-1.06E+00
ACTR3B,7.80E-01,9.19E-01,-1.06E+00
SLC7A6OS,6.09E-01,8.24E-01,-1.06E+00
CCDC47,4.03E-01,6.71E-01,-1.06E+00
NECAP1,8.21E-01,9.37E-01,-1.06E+00
NOCT,9.19E-01,9.71E-01,-1.06E+00
MEIS3,7.87E-01,9.23E-01,-1.06E+00
AC097263.1,6.08E-01,8.24E-01,-1.06E+00
EIF5A2,7.10E-01,8.83E-01,-1.06E+00
NGLY1,6.11E-01,8.26E-01,-1.06E+00
RWDD2B,5.58E-01,7.91E-01,-1.06E+00
GFM1,3.82E-01,6.52E-01,-1.06E+00
PPIA,5.58E-01,7.92E-01,-1.06E+00
GLI4,4.98E-01,7.52E-01,-1.06E+00
DMC1,8.53E-01,9.50E-01,-1.06E+00
FADS3,6.62E-01,8.57E-01,-1.06E+00
SEC11C,6.66E-01,8.59E-01,-1.06E+00
POLM,7.84E-01,9.22E-01,-1.06E+00
PIGM,5.61E-01,7.94E-01,-1.06E+00
MPHOSPH9,4.20E-01,6.86E-01,-1.06E+00
CHCHD2,3.52E-01,6.26E-01,-1.06E+00
OPLAH,9.00E-01,9.66E-01,-1.06E+00
WDR82,4.55E-01,7.17E-01,-1.06E+00
GATC,4.48E-01,7.11E-01,-1.06E+00
GALNT11,6.83E-01,8.68E-01,-1.06E+00
CHPF2,6.41E-01,8.42E-01,-1.06E+00
RNF38,8.98E-01,9.65E-01,-1.06E+00
NMRAL2P,9.85E-01,9.96E-01,-1.06E+00
IST1,2.83E-01,5.56E-01,-1.06E+00
MYL6B,4.25E-01,6.90E-01,-1.06E+00
ZNF197,8.09E-01,9.32E-01,-1.06E+00
EHMT1,4.76E-01,7.32E-01,-1.06E+00
RAB12,3.06E-01,5.80E-01,-1.06E+00
TOR4A,5.64E-01,7.96E-01,-1.06E+00
YIF1A,4.81E-01,7.36E-01,-1.06E+00
CSTF2,5.31E-01,7.72E-01,-1.06E+00
TRAF3IP1,3.68E-01,6.41E-01,-1.06E+00
HMGB1P6,7.89E-01,9.24E-01,-1.06E+00
ARAP3,8.87E-01,9.61E-01,-1.06E+00
PCBP1,7.85E-01,9.22E-01,-1.06E+00
CPNE1,5.66E-01,7.98E-01,-1.06E+00
YAF2,7.62E-01,9.11E-01,-1.06E+00
AP2M1,4.40E-01,7.05E-01,-1.06E+00
STX5,6.87E-01,8.72E-01,-1.06E+00
HEATR5A,4.62E-01,7.21E-01,-1.06E+00
DNER,9.00E-01,9.66E-01,-1.06E+00
SUV39H1,6.65E-01,8.58E-01,-1.06E+00
MRPL43,3.19E-01,5.93E-01,-1.06E+00
RAPGEF2,5.40E-01,7.77E-01,-1.06E+00
MARK3,4.19E-01,6.85E-01,-1.06E+00
FKBP1A,4.23E-01,6.89E-01,-1.06E+00
EIF2B4,6.76E-01,8.65E-01,-1.06E+00
LPCAT3,7.09E-01,8.83E-01,-1.06E+00
TMBIM6,4.60E-01,7.20E-01,-1.06E+00
APPL1,4.37E-01,7.02E-01,-1.06E+00
CACUL1,4.65E-01,7.24E-01,-1.06E+00
RPS16,3.95E-01,6.64E-01,-1.06E+00
TBP,5.81E-01,8.07E-01,-1.06E+00
TMED3,4.42E-01,7.07E-01,-1.06E+00
RPL4P4,7.32E-01,8.96E-01,-1.06E+00
DIABLO,5.75E-01,8.03E-01,-1.06E+00
ATXN2L,6.91E-01,8.74E-01,-1.06E+00
RPS7P11,8.26E-01,9.39E-01,-1.06E+00
YBX3,3.45E-01,6.20E-01,-1.06E+00
RNF220,6.15E-01,8.28E-01,-1.06E+00
BTBD10P1,6.60E-01,8.56E-01,-1.06E+00
MMAB,4.92E-01,7.47E-01,-1.06E+00
ATP5PO,6.46E-01,8.46E-01,-1.06E+00
ZNF480,3.70E-01,6.42E-01,-1.06E+00
ACTR6,5.61E-01,7.94E-01,-1.06E+00
DOCK7,6.24E-01,8.33E-01,-1.06E+00
SCAF4,5.25E-01,7.68E-01,-1.06E+00
CEMIP2,7.51E-01,9.06E-01,-1.06E+00
RIPK4,7.68E-01,9.15E-01,-1.06E+00
UTP4,4.90E-01,7.45E-01,-1.06E+00
RMI1,8.12E-01,9.33E-01,-1.06E+00
CKAP2L,5.40E-01,7.77E-01,-1.06E+00
AP2A1,7.59E-01,9.10E-01,-1.06E+00
AC099677.1,9.66E-01,9.90E-01,-1.06E+00
ZNF549,8.20E-01,9.36E-01,-1.06E+00
PPCS,3.03E-01,5.78E-01,-1.06E+00
RPL37AP1,8.64E-01,9.53E-01,-1.06E+00
EPB41L4B,7.51E-01,9.06E-01,-1.06E+00
TMEM250,6.70E-01,8.61E-01,-1.06E+00
CLTCL1,9.76E-01,9.92E-01,-1.06E+00
AKAP10,5.66E-01,7.97E-01,-1.06E+00
RMDN2,8.02E-01,9.30E-01,-1.06E+00
DAG1,7.17E-01,8.87E-01,-1.07E+00
DHCR7,6.11E-01,8.26E-01,-1.07E+00
ULK1,4.50E-01,7.13E-01,-1.07E+00
PCLAF,7.10E-01,8.83E-01,-1.07E+00
GATA2,5.49E-01,7.84E-01,-1.07E+00
COMMD7,4.76E-01,7.32E-01,-1.07E+00
DCAF1,7.82E-01,9.20E-01,-1.07E+00
TBC1D31,6.66E-01,8.59E-01,-1.07E+00
LRRC28,6.78E-01,8.66E-01,-1.07E+00
PPP1R10,5.93E-01,8.14E-01,-1.07E+00
NDUFA1,7.58E-01,9.09E-01,-1.07E+00
FAM133B,6.37E-01,8.40E-01,-1.07E+00
INTS10,6.54E-01,8.52E-01,-1.07E+00
IFNGR2,9.21E-01,9.72E-01,-1.07E+00
BCL2L13,5.93E-01,8.14E-01,-1.07E+00
ERC1,6.08E-01,8.24E-01,-1.07E+00
BAZ2A,3.64E-01,6.38E-01,-1.07E+00
ZNF205,7.87E-01,9.23E-01,-1.07E+00
AL662884.1,9.01E-01,9.66E-01,-1.07E+00
ANKRD13A,6.40E-01,8.42E-01,-1.07E+00
APOBEC3F,7.88E-01,9.23E-01,-1.07E+00
KHDC4,7.28E-01,8.94E-01,-1.07E+00
DCAF17,6.57E-01,8.53E-01,-1.07E+00
FAM136A,4.03E-01,6.71E-01,-1.07E+00
ABCB10,9.37E-01,9.79E-01,-1.07E+00
YAE1D1,7.52E-01,9.06E-01,-1.07E+00
RBBP5,6.15E-01,8.28E-01,-1.07E+00
MRPS21,3.60E-01,6.33E-01,-1.07E+00
GLUD2,8.41E-01,9.45E-01,-1.07E+00
NUFIP1P,8.04E-01,9.30E-01,-1.07E+00
PPP1R3D,7.78E-01,9.19E-01,-1.07E+00
